ID,Species_common_name,Species_scientific_name,X,Y,Date,Time,Distance_m,dt_s,Speed_m_s,habitat_type,Year,Habitat_specialisation,Feeding_guild,Ground-foraging_behaviour_%,HWI,Animal_mass_g,timestamp
BB01,Northern Brownbul,Phyllastrephus strepitans,391718.3801,9843000.94,3/14/2016,7:20,221.99,600,0.37,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 7:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391940.3297,9843004.96,3/14/2016,7:30,858.5,600,1.43,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 7:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391830.8399,9842985.1,3/14/2016,8:10,119.35,600,0.2,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 8:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391547.9101,9843126.34,3/14/2016,8:40,879.34,600,1.47,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 8:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391613.9105,9843062.09,3/14/2016,9:10,97.44,600,0.16,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 9:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391625.4305,9843019.03,3/14/2016,10:40,49.34,600,0.08,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 10:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391653.0798,9843027.59,3/14/2016,12:10,109.97,600,0.18,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 12:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391762.8998,9843021.84,3/14/2016,12:20,118.21,600,0.2,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 12:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391658.6105,9843077.49,3/14/2016,12:30,575.35,600,0.96,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 12:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391928.31,9842940.27,3/14/2016,12:50,144.33,600,0.24,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 12:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391807.6695,9843019.49,3/14/2016,13:00,28.89,600,0.05,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 13:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391789.9002,9842996.71,3/14/2016,13:10,212.08,600,0.35,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 13:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391792.7004,9843208.77,3/14/2016,13:20,147.63,600,0.25,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 13:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391763.7905,9843107.45,3/14/2016,14:20,32.58,600,0.05,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 14:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391731.33,9843110.29,3/14/2016,14:30,136.89,600,0.23,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 14:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391594.8195,9843100.13,3/14/2016,14:40,89.87,600,0.15,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/14/2016 14:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391453.5499,9843043.71,3/15/2016,7:30,326.51,600,0.54,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 7:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391343.9702,9843202.11,3/15/2016,8:10,53.43,600,0.09,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 8:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391398.0797,9843134.82,3/15/2016,9:00,136.92,600,0.23,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 9:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391510.4303,9843056.57,3/15/2016,9:10,65.82,600,0.11,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 9:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391575.6195,9843000.52,3/15/2016,9:40,14.53,600,0.02,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 9:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391561.5195,9843004.04,3/15/2016,9:50,93.85,600,0.16,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 9:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391505.7,9843079.48,3/15/2016,10:00,303.62,600,0.51,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 10:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391446.9497,9843049.86,3/15/2016,11:20,18.34,600,0.03,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 11:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391428.6305,9843048.95,3/15/2016,11:30,16.7,600,0.03,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 11:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391424.7997,9843065.2,3/15/2016,11:40,145.61,600,0.24,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 11:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391559.72,9843010.45,3/15/2016,11:50,88.19,600,0.15,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 11:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391477.0003,9843013,3/15/2016,13:30,36.34,600,0.06,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 13:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391442.6002,9843024.71,3/15/2016,13:40,43.96,600,0.07,Riverbed,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 13:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391599.1597,9843025.95,3/15/2016,15:00,107.52,600,0.18,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 15:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391496.72,9842993.28,3/15/2016,15:10,26.3,600,0.04,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 15:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391473.6996,9842980.56,3/15/2016,15:20,38.46,600,0.06,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 15:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391437.0999,9842992.39,3/15/2016,15:30,52.23,600,0.09,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 15:30
