Disperser Group,Habitat loss,Fragmentation level,Seeds in Fragments (%),Scale,Shape,Median dispersal distance (m),99th quantile dispersal distance (m),Area (km2),NND (m)
Forest specialist,Low,Low,90.8,196.25,0.967,115.85,734.91,50.66,133.60
Forest specialist,Low,Intermediate,86.4,198.91,0.953,104.58,767.02,50.50,136.29
Forest specialist,Low,High,87.8,190.33,0.981,104.77,712.09,50.61,128.67
Forest specialist,Intermediate,Low,90.6,202.81,0.974,115.56,770.13,50.40,133.54
Forest specialist,Intermediate,Intermediate,42.2,177.51,0.950,85.81,718.08,50.63,143.99
Forest specialist,Intermediate,High,65.5,191.16,0.961,101.38,723.39,50.30,131.95
Forest specialist,High,Low,39.9,175.42,0.939,82.65,663.52,50.30,146.66
Forest specialist,High,Intermediate,29.4,176.63,0.910,78.77,751.17,50.35,137.26
Forest specialist,High,High,34.2,169.43,0.934,78.77,670.35,50.70,148.03
Habitat generalist,Low,Low,89.3,322.92,1.355,255.07,817.52,50.94,128.46
Habitat generalist,Low,Intermediate,85.7,313.51,1.349,242.19,809.57,50.73,144.62
Habitat generalist,Low,High,81.9,307.62,1.356,243.91,777.87,50.79,142.79
Habitat generalist,Intermediate,Low,89.6,322.29,1.362,254.48,821.15,50.84,137.44
Habitat generalist,Intermediate,Intermediate,38.4,297.56,1.340,234.34,743.71,50.61,140.22
Habitat generalist,Intermediate,High,59.3,302.24,1.336,238.12,757.55,50.99,137.20
Habitat generalist,High,Low,38.9,302.49,1.343,235.89,779.79,50.88,140.32
Habitat generalist,High,Intermediate,26.3,295.40,1.305,226.38,761.46,50.39,143.49
Habitat generalist,High,High,29.4,294.06,1.352,224.37,731.77,50.76,129.41
